airport,categoryenglish,categoryHindi,titleEnglish,titleHindi,descriptionEnglish,descriptionHindi,email,phone,website,last_updated
Bengaluru,"Parking and Transportation","पार्किंग और परिवहन","AKBAR TRAVELS - CAR RENTAL",,"If you like the idea of driving yourself around, our fleet of rental cars which will simplify travel for you. From high -end luxury cars to the latest hatchbacks, we have a full range of well-maintained 4-wheelers for you to choose from when you arrive at the airport.",,bangalore@akbarcarrental.in,08066783810,https://www.akbartravels.com/,2024-10-14
Bengaluru,"Parking and Transportation","पार्किंग और परिवहन","KSTDC CAB - AIRPORT TAXI",,"A metered taxi service is available for passengers near the left luggage counter outside our terminal. An air-conditioned sedan will be ready to take you anywhere in Bengaluru. It is the most easily accessible, safe and convenient way to travel to and from the airport.",,taxis@karnatakaholidays.net,8746906062,http://www.karnatakaholidays.net/,2024-10-14
Kolkata,"Parking and Transportation","पार्किंग और परिवहन","Radio Taxi",,"Radio-taxi services from/to Terminal-2 of NSCBI Airport are available round the clock. Arriving passengers can avail the services at the Ola and Uber counters available in the Arrival Lower Level. Passengers/visitors coming to the Airport from city can book the cabs through phone or app.",,,,,2024-10-14
Kolkata,"Parking and Transportation","पार्किंग और परिवहन",Metro,,"The current Kolkata Metro expansion plans include two new lines to the airport, one from Noapara connecting at Barasat, and the other from New Garia. Both lines will converge at the airport and form an underground station. However, the nearest train and metro station i.e, Dum Dum station is around 6 kms (approx.) from the Airport.",,,,,2024-10-14
Chennai,"Parking and Transportation","पार्किंग और परिवहन","Garuda Aviaion Services",,"Management of Car Park Services at Domestic and International Terminals of Chennai Airport.",,admin@pkhs.in,9444237343,,2024-10-14
Bengaluru,"Parking and Transportation","पार्किंग और परिवहन","CARZONRENT - CAR RENTAL",,"If you like the idea of driving yourself around, our fleet of rental cars which will simplify travel for you. From high -end luxury cars to the latest hatchbacks, we have a full range of well-maintained 4-wheelers for you to choose from when you arrive at the airport.",,airportblr@carzonrent.com,8066783711,http://www.carzonrent.com/,2024-10-14
Bengaluru,"Parking and Transportation","पार्किंग और परिवहन","BANGALORE INTERNATIONAL AIRPORT PARKING SERVICES",,"At Kempegowda International Airport Bengaluru, parking zones are laid out keeping in mind passenger ease and convenience. All parking zones are located between 100 to 200 meters from the passenger terminal building, at a short, walking distance. The parking zones are semi-automatic, the entry & exits are designed to ensure seamless movement of vehicles.",,feedback@bialairport.com,09538882020,http://www.bengaluruairport.com/bial/faces/pages/transport/parkingOptions.jspx?_adf.ctrl-state=mu0j3inot_244&_afrLoop=8457010614437884,2024-10-14
Indore,"Parking and Transportation","पार्किंग और परिवहन","SAKHA CABS(WOMAN TAXI)",,"Type of facility:GROUND TRANSPORT FACILITY

Terminal : INTEGRATED

Area : OUTSIDE TERMINAL

SERVICES OFFERED :WOMAN DRIVEN CAB SERVICES FOR LADY PASSENGERS",,,9873170376,,2024-10-14
Delhi,"Rest and Relax","आराम या प्रतीक्षा करना","SAMS SNOOZE AT MY SPACE",,"Indira Gandhi International Airport Delhi has added a new dimension to the airport lounge. SAMS SNOOZE AT MY SPACE, an innovative concept introducing Sleeping pods and pay-per-use lounges is available to you, offering you personal comfort rooms, for the first time in India. Located at the departure area at the T3 Indira Gandhi International Airport Delhi, available for all you esteemed passengers on an hourly basis, offering covenience for early morning airport departures or late arrivals.",,,,,2024-10-14
Chennai,"Rest and Relax","आराम या प्रतीक्षा करना","Travel Food Services",,"Concession to develop, operate and maintain food and beverage outlets at Chennai Airport",,"srinath.ragavan@travelfood services.com",9884306606,,2024-10-14
Bengaluru,"Rest and Relax","आराम या प्रतीक्षा करना","LOUNGE - PLAZA PREMIUM",,"Plaza premium lounge, the worlds leading airport lounge provider brings its world class airport services at BLR airport. The lounges will have delectable food and beverage along with interactive live food counters for made to order dishes, comfortable seating options, high speed Wi-Fi. (Location - domestic and international security hold area)",,sujay.patil@plaza-network.com,08066784811,,2024-10-14
Bengaluru,"Rest and Relax","आराम या प्रतीक्षा करना","O2 SPA",,"The best place to rejuvenate yourself before a long journey through special treatments. It offers quick and relaxing massages, as well as service such as foot reflexology, facials, pedicure & manicures. (Location - domestic and international security hold area)",,abhimanyu@o2spa.org,08077684750,,2024-10-14
Indore,"Rest and Relax","आराम या प्रतीक्षा करना","SLEEPING ZONE by BRAND MIDAS HOSPITALITY SERVICES PVT.LTD",,"Type of facility: SLEEPING ZONE

Terminal : INTEGRATED

Area : DEPARTURE HALL

SERVICES OFFERED :MOBILE/LAPTOP CHARGING, BAGGAGE SAFETY & REST FACILITY",,,9179811313,,2024-10-14
Indore,"Rest and Relax","आराम या प्रतीक्षा करना","BRAND MIDAS HOSPITALITY SERVICS PVT.LTD(SMOKING LOUNGE &amp; SALES KIOSK)",,"Type of facility: SMOKING LOUNGE & SALES KIOSK

Terminal : INTEGRATED

Area : SHA First Floor

SERVICES OFFERED :A/C SMOKING ROOM WITH FACILITY FOR CIGARETTE LIGHTING",,,8770828359,,2024-10-14
Indore,"Rest and Relax","आराम या प्रतीक्षा करना","BABY CARE ROOM By HIMALAYA",,"Type of facility: BABY CARE ROOM

Terminal : INTEGRATED

Area : SHA First Floor ,DEPARTURE Hall

SERVICES OFFERED :FREE BABY CARE PRODUCTS AND NAPPY CHANGING FACILITIES",,,8218098615,,2024-10-14
Indore,"Rest and Relax","आराम या प्रतीक्षा करना","DELTA CARE(MASSAGE CHAIR)",,"Type of facility: MASSAGE CHAIR

Terminal : INTEGRATED

Area : SHA

SERVICES OFFERED :FULL BODY MASSAGE THROUGH AUTOMATED CHAIRS",,,7000964179,,2024-10-14
Mumbai,"Special Assistance Services","विशेष सहायता सेवाएँ","FREE BUGGY WHEELCHAIR ON CALL",,"Special assistance is provided throughout our terminal for passengers as Senior citizens, Mother with child, Expecting mothers.",,interterminal.ops@csia.gvk.com,"+91 9833301319",,2024-10-14
Mumbai,"Special Assistance Services","विशेष सहायता सेवाएँ","JET AIRWAYS WHEELCHAIR ON CALL",,"Wheel chair Services for Jet Airways Flyers",,,66855167,,2024-10-14
Delhi,"Special Assistance Services","विशेष सहायता सेवाएँ","AIR INDIA",,"Wheelchairs are provided by Air India Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.",,,01149637543,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","ETIHAD AIRWAYS",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the curbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ",INDIGO,,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","ALLIANCE AIR",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ",EMIRATES,,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","OMAN AIR",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","SRI LANKAN",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","NEPAL AIRLINES",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","GO AIR",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","AIR INDIA",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","DRAGON AIR",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","KUWAIT AIRWAYS",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ",SCOOT,,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Kolkata,"Special Assistance Services","विशेष सहायता सेवाएँ","Left Luggage Facility",,"There is left luggage/baggage storage facilities to safely and securely store your luggage at the airport terminal. Baggage and luggage items can be stored for a few hours or up to 30 days. All items are subject to security checks, including X-ray screening and random hand searches. The facility operates 24 x 7 and booking of can be done at the Arrival Level - Counter No 18 (near Gate 3C) and Departure Level - Airport Manager's office (Gate 3C). Both Domestic and International passengers can leave luggage for a maximum of 30 days at Charges are Rs.20/- per baggage (for 24 hours period). Beyond 24 hours or part there off, Rs.40/- per day per baggage will be charged. For any assistance / enquiry, contact :

Airport Manager 
Phone : 033 -2569 1011
Mobile : 9674721815 / 9674721816",,,"Phone: 033 -2569 1011; Mobile: 9674721815 / 9674721816",,2024-10-14
Indore,"Special Assistance Services","विशेष सहायता सेवाएँ","YOLO HEALTH ATM",,"Type of facility: HEALTH ATM

Terminal : INTEGRATED

Area : SHA

SERVICES OFFERED :HEALTH CHECK UP ON 16 PARAMETERS THROUGH AUTOMATED MACHINE",,,9826474693,,2024-10-14
Indore,"Special Assistance Services","विशेष सहायता सेवाएँ","Check-In Counters",,"16 check in counters are operational in Departure.

*Please contact the respective airline operator for the exact check-in counters.


Sl.No	Airline Name	      Airline Contact Information
1	Air India	      0731-2620491
2	Vistara 	      9229233255
3	IndiGo Airlines	      0731-2620695
4	Air Asia	      0731-2623644
5	Go Air	              7304995848
6	Truejet 	      0731-2623130/9676999951
7	Star Air	      7000870261
8	Fly Big	              8225962437",,,,,2024-10-14
Indore,"Special Assistance Services","विशेष सहायता सेवाएँ",Trolleys,,"Type of facility: Free Trolley facilities for passengers

Terminal : INTEGRATED

Area :  Inside ARRIVAL,Outside Departure,

SERVICES OFFERED :Free Trolley facilities for passengers",,indoreatm@aai.aero,9425057716,,2024-10-14
Nagpur,Dining,भोजन,CITCO,,"Restaurant & Food Services Executive Lounge & Tourism Counter",,cao@citcochandigarh.com,9988222259,http://www.citcochandigarh.com,2024-10-14
Delhi,Dining,भोजन,"DEVYANI FOOD STREET PRIVATE LIMITED",,"Includes chain restaurants such as KFC, Vaango, Moti Mahal, Costa Coffee, Subway, Joost, Food Street, Delhi Dare Devils,Hagen Dazs(T1), Ile Bar, Nizams",,lalit.kandpal@dil-rjcorp.com,9810516565,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Mumbai Se-T1-T1 Check in",,kamlesh.patil@travelfoodservices.com,9930303098,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Food @ Gate A-T1-T1C SHA",,kamlesh.patil@travelfoodservices.com,9930303098,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Chai Thela-T1-Arrivals",,kamlesh.patil@travelfoodservices.com,9930303098,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Pepsi/Haldiram/New brand-T1-Arrivals",,kamlesh.patil@travelfoodservices.com,9930303098,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Mumbai Se Cart-T1-Arrivals",,kamlesh.patil@travelfoodservices.com,9930303098,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-BLACK DOG BAR-T1-T1B SHA",,,,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Cafeccino Exp-T1-T1B SHA",,,,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Kamlesh Patil-Cafeccino Exp-T1-T1B SHA",,,,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"BLACK DOG BAR Cafeccino (T1B) Cafeccino Exp Cycle Tea",,,,,2024-10-14
Mumbai,Dining,भोजन,TFS,,"Baker Street East Baker Street West Baker Street G&G",,amit.gupta@lbf.co.in,9820381881,,2024-10-14
Bengaluru,Dining,भोजन,"CHAI POINT",,"Grab a steaming hot cup of Indias most loved beverage only at chai point. It serves all the popular avatars of chai along with samosa and maska bun, that are best enjoyed while sipping your favorite cup of team. (Location - near arrival gates)",,shashidhara@chaipoint.com,9900746611,,2024-10-14
Bengaluru,Dining,भोजन,"HATTI KAAPI",,"Hatti Kaapi, the authentic south Indian filter coffee destination. A stop-over at hatti kaapi is a must not only to try the filter coffee but also the peanut masala bun, before heading into city. (Location - near arrival gates)",,girish@hattikaapi.in,9591999437,,2024-10-14
Kolkata,Dining,भोजन,Flurys,,"Location: Two outlets in Domestic Departure level, one at International Departure level and one at Domestic Arrivals. 

Fudgy rum balls and crumbly cubed cake or delicate rolls and flaky chicken patties. What’s your pick? Try them all Flurys in Kolkata Airport.",,,,,2024-10-14
Kolkata,Dining,भोजन,"Tea Junction",,"Location – One outlet each in Domestic & International Departure levels  

Got some time before your flight departs, head over to Tea Junction for a hot cup of tea and some healthy conversations. They have multiple variants of “Chai” and their signature Clay Khullad will give you the true feel of “Chai, the Indian way”",,,,,2024-10-14
Kolkata,Dining,भोजन,"Switch on the go",,"Location – One outlet in Domestic Departure level 

Grab a coffee and a sandwich from this outlet to satiate your last minute hunger pangs before boarding the flight.",,,,,2024-10-14
Kolkata,Dining,भोजन,Ganguram’s,,"Location – Two outlets in Domestic Departure level  

The iconic Ganguram Sweets of Kolkata are renowned for their fine sweets and flyers frequently choose to take a slice of Kolkata back with them in a packet of Ganguram’s.",,,,,2024-10-14
Kolkata,Dining,भोजन,Bhikaram,,"Location - One outlet in Domestic Departure

Bhikharam is a big brand when it comes to sweets or snacks. This place will surely live up to your expectations and offers a great variety of sweets and savory snacks.",,,,,2024-10-14
Indore,Dining,भोजन,KFC,,"KFC First Floor in SHA(Security Holding Area)",,kfc.indore@lbf.co.in,0731-4216161,https://online.kfc.co.in/home,2024-10-14
Indore,Dining,भोजन,"Clink BAR",,"Clink Bar & Lounge.",,clinkbar.indore@lbf.co.in,"8210675303,62632296532",,2024-10-14
Indore,Dining,भोजन,"Baker Street-3",,"Type of facility: Food and beverage

Terminal : INTEGRATED

Area : DEPARTURE,SHA (INTERNATIONAL)

SERVICES OFFERED :Food and beverage",,khaogali.indore@lbf.co.in,8860317663/9990474536,,2024-10-14
Indore,Dining,भोजन,SUBWAY,,"Type of facility: Food and beverage

Terminal : INTEGRATED

Area : DEPARTURE,SHA (FIRST FLOOR)

SERVICES OFFERED :Food and beverage",,subway.indore@lbf.co.in,8860317663/9990474536,,2024-10-14
Kolkata,Shopping,खरीदारी,"UNITED COLORS OF BENETTON",,"Established in 1965, United Colors of Benetton has been at the forefront of leading global fashion. The group has a consolidated identity comprised of color, authentic fashion, quality at democratic prices & passion for social causes. These are reflected in the strong dynamic collection of the UCB store at Kolkata Airport",,,,,2024-10-14
Kolkata,Shopping,खरीदारी,HIDESIGN,,"Hidesign has established its name based on a strong heritage of craftsmanship and innovation. By keeping its focus on classic contemporary fashion, Hidesign caters to a highly savvy and sophisticated urban professional. The leather collection includes handcrafted handbags, clutches, briefcases, wallets, laptop cases, belts, sunglasses, and garments.",,,,,2024-10-14
Kolkata,Shopping,खरीदारी,KOMPANERO,,"KOMPANERO Is a range of leather bags with a distinctive weathered look, vintage appeal, and a contemporary design inspired by the concept 'leather being a timeless companion'. The brand name KOMPANERO is inspired by the Spanish word that means “Companion”.",,,,,2024-10-14
Kolkata,Shopping,खरीदारी,"Vending Machines",,"You can use the vending machines at Kolkata Airport for purchasing water, aerated drinks and juices. The vending machines have been stationed at Domestic and International departure and arrivals.",,,,,2024-10-14
Indore,Shopping,खरीदारी,WHsmith,,"WHSMITH A WORLD CLASS BRAND AND RETAILER",,amit.singh4@futureretail.in,9818775040,https://www.whsmithindia.com/,2024-10-14
Indore,Shopping,खरीदारी,"Maheshwari Silk Sarees",,"Maheshwar in Madhya Pradesh, India is known for its exquisite and finely woven Maheshwari sarees. The Maheshwari Saris are exclusive for their unique designs on silk and cotton fabrics and their blends etc.",,shrich@gmail.com,7000951592,,2024-10-14
Indore,Shopping,खरीदारी,Hidesign,,"Hidesign is a leather goods manufacturer based in Pondicherry, India.",,ddindore@hidesign.com,8519046196,https://hidesign.com/,2024-10-14
Indore,Shopping,खरीदारी,"The Bombay Store",,"Home furnishings, accessories, and decor.",,smindore@bombaystore.com,9993514128,,2024-10-14
Indore,Shopping,खरीदारी,W,,"Type of facility: Retail(Clothing Store for Woman)

Terminal : INTEGRATED

Area : DEPARTURE,SHA (FIRST FLOOR)",,wa102airportindore@gmail.com,9752188453,,2024-10-14
Indore,Shopping,खरीदारी,"Forest Essentials",,"Type of facility: Retail(Ayurvedic products)

Terminal : INTEGRATED

Area : DEPARTURE,SHA (FIRST FLOOR)",,indore@forestessentialsindia.com,9752049696,,2024-10-14
